,Train IDs,Dev IDs,Test IDs
0,1061622575963521024,1045664997588766720,1108892807018758144
1,1054533554032435200,1107648231784144896,1115276435432853504
2,1042823431039922176,1114193623199956992,1054560047202742272
3,1105367944245248000,1107023453515862016,1024252637045239808
4,1109966259104419842,1050841837483819009,1053894921961304064
5,1107885587384590337,1116925911402778625,1114271764404756480
6,1045082475460988928,1105078427881738240,1059530820606742528
7,1114303531576635395,1044570092762267649,1116042450991075328
8,1116682698028933122,1115429257990115328,1109244411924434944
9,1105877464860053505,1050692413109489665,1051486821685882885
10,1109628166774099969,1105313181981986817,1106546229524213767
11,1042027930958692352,1053548765527842816,1047176060092211200
12,1113477245463670785,1107065780565393408,1106524592447856641
13,1108128857859739648,1113640165870727169,1043413806041456640
14,1049918567452426240,1114207570565136384,1109999380654948353
15,1113933224475090945,1056028352723730433,1108764484716429312
16,1109206188028280834,1106692617746726917,1107733549766098946
17,1106510871533154304,1052595597906247680,1062450549055021056
18,1048566460241600513,1115367644129927168,1050995405159165952
19,1106791102114381824,1061050939023507456,1058874123617677312
20,1107037602455187457,1105739156322508800,1108182159922266112
21,1051928642052390915,1113436208170975234,1042352771167477765
22,1114331368450715648,1042824626034941957,1051527702753230848
23,1107248852006924289,1109677307558588424,1108931029769682949
24,1114661417775505412,1052197508850610176,1058464913495150595
25,1108867787127029760,1050123558742048781,1107282344203952128
26,1110403344600752128,1034940055499010048,1054605519837523969
27,1114640951664893952,1106588627524423681,1042860455088156672
28,1107033426282967040,1108796744806981632,1056686524006305793
29,1056368741007745024,1050140893737562113,1057034881916641280
30,1115455977765998593,1106621801348689925,1108701637957300224
31,1034836652605300736,1114057233715748864,1107016011079974913
32,1059001188257955840,1115462752753971200,1107502771400372224
33,1108302796057690113,1037301409861922818,1057430860838760448
34,1105304262215720961,1109300010578046977,1115425010900848645
35,1110280883053821952,1108875814664314880,1042440758220005376
36,1114553596249616387,1109125875260448769,1061910083515248641
37,1109950838288629760,1042953354886955008,1105580369020112896
38,1109152558017400833,1108945779035521026,1115769250197565440
39,1116700897399037952,1055948419867574273,1058538218730258438
40,1108166291381202944,1050905926503256064,1051275520699244545
41,1108407068720066561,1106903273578160128,1113900292247044096
42,1107519161641717760,1057117508753350657,1055273737132654598
43,1035304593830408193,1060873327819014144,1116066732903419905
44,1056655083465715712,1116335552779968513,1064189790021668872
45,1042374143004565506,1109437923345223681,1114041243615604736
46,1116403096551337986,1115869100566249475,1056441383534379009
47,1063920237773537281,1108620929620471808,1061076346565287936
48,1110440770681470976,1109339979811979264,1059508332560613378
49,1050148652042342402,1037309511789436936,1114365706026536961
50,1107784370356662274,1105607162309406721,1064325232557768704
51,1114651913738387457,1114490031132094465,1035262675993935872
52,1109869622751363072,1058454046628044800,1062734507080667136
53,1115694053662822400,1108903712125259778,1105870932051152897
54,1116521248174039043,1024459898682191872,1023952990984654853
55,1113370460060827648,1052606055170039808,1050545519964119041
56,1105795525226446853,1107736952160153600,1109842098990313474
57,1115730884341243905,1054172603852693504,1034877538408062976
58,1116376916347498498,1117395369435041792,1054485828951404544
59,1054132813086236672,1059560463174983680,1105115461627404289
60,1035608973326643201,1115787213231480832,1106593104684027907
61,1109285113395847168,1113887328928505863,1107882212605784064
62,1114946223151243264,1115468531028627457,1050853581883154434
63,1115852441080217603,1110171625155108864,1035508530860548096
64,1057633442098221056,1107301983852081153,1105269450859786241
65,1062589642569072640,1116670595490557952,1109720334511558656
66,1057449614134165504,1109915975749652482,1107968886081634305
67,1107439112917790721,1115673345712906240,1050391873330786304
68,1115070093036273665,1108869681803390977,1056358330250215425
69,1114253746115153922,1115203216612954113,1061527969653501953
70,1050700644624027648,1050352150608576513,1052559416569020416
71,1115389748934266882,1108265981674029058,1107508416698896385
72,1113074513577734144,1114605277976903680,1057098802287521792
73,1117515536164900865,1108025558049476608,1051332251106066433
74,1114287984210214913,1043642474265227265,1035866576061382656
75,1062092272551059456,1109540912118579200,1061883468240560128
76,1049108959649513472,1046033504579014656,1115322519169507329
77,1109383190073036801,1058785430106136576,1113407989824786433
78,1063618959113510912,1062653723535663105,1109631046302072834
79,1044037118144598017,1057453549624406016,1062316236694908928
80,1109712760051396608,1105682451211284480,1108818558249824256
81,1107411796682371072,1051618494788317196,1113656019412901888
82,1110444146232303617,1116639534077190144,1113875060354367489
83,1050493240598773761,1106572604826157056,1109671346269753345
84,1041710893451501568,1107981975829135360,1058994219170312192
85,1045723189035307008,1053751223558389760,1061388778743496705
86,1056901526105534464,1113164605092769798,1117517583681507328
87,1051587487611670528,1058870654957690882,1042085189759975424
88,1113601813213847552,1035630630724411392,1106660984683405318
89,1024976803885137921,1063665806016270336,1059477211332235264
90,1107689945693597696,1114221113037299712,1054051986234953728
91,1114695040335523845,1054069282714386433,1110029894107332608
92,1057419953383583745,1054407378370613249,1035244105041891328
93,1034939525187948545,1115224597962448896,1105244284624822272
94,1034939108697751553,1063638632169385985,1105261766144114688
95,1113852884658081792,1024505349271891969,1110311771108184064
96,1061549874498453505,1107129436447690754,1034977939497144321
97,1056991756150026243,1109427471718342656,1061653033396985856
98,1055884642606350338,1115291191904493568,1106825962514247680
99,1109486634263896064,1109190152306544640,1117309132678287361
100,1107631444216762368,1115883865934114817,1108023859373113344
101,1049758335824584705,1061789996825395200,1114290912023257089
102,1053364294853844993,1115812783294230529,1116351583154049027
103,1058359655196491776,1035254005335814144,1064265701937041409
104,1108491748689539072,1046778264797290497,1049519770935148544
105,1108308896505044992,1107825752492462081,1061334295736995840
106,1107120311265189889,1041814400116568064,1108038886046007297
107,1053449040174690305,1115784784649883653,1060923251612966912
108,1114672115494604800,1110372503929741312,1107801961015975936
109,1044854226424418306,1113620188300283904,1047257632556417025
110,1114590708969746433,1062745676625403906,1106860073962426368
111,1062441292154724352,1042081748463640576,1053702508957388800
112,1050139473873387522,1108474969057619969,1114451353382690817
113,1115126563668885504,1037168686740586496,1106580970629681152
114,1109825886302453762,1109167381182443520,1056800782941671424
115,1105326574159589376,1056496046229065728,1058606958696108038
116,1060938072001560576,1115450374272487426,1044695563437068288
117,1057226288644132864,1108437045624692738,1113147404642082817
118,1035248494494330885,1114558139851005955,1034967888476524544
119,1062916731163729920,1109990461719105536,1110023763150532608
120,1107796651610128384,1114341541781364737,1041860965548130304
121,1056183855965786112,1114888347640651778,1109208203928240134
122,1062746446280249345,1115062937327161344,1115155116498149376
123,1064415064722042880,1115612484730122240,1057986269542780928
124,1115474998121193472,1043633348726476800,1051752728907661312
125,1107326212639260674,1059442584051888130,1114218538485469184
126,1053365967248605184,1114080107029725184,1052580299916230656
127,1107496281356886016,1043955285281230848,1049868627321729025
128,1114275995027148801,1056650353339330560,1062801072404672512
129,1059477306794786819,1108535199699218436,1055289967184920576
130,1054171381859004419,1057665449838739456,1061356918080454656
